text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
అంతరిక్షంలో ఉన్న ఉపగ్రహాలు భూమిపై ఉన్న వాతావరణ మార్పులను పర్యవేక్షిస్తాయి,0,1,0,1,1,0
"బంగారం, వెండి వంటి లోహాలను ఎలక్ట్రానిక్ చిప్‌లలో కండక్టర్లుగా తక్కువ పరిమాణంలో వాడతారు",0,0,0,0,0,0
ఆ పర్వత ప్రాంతంలో పర్యటించడం ఒక సాహస యాత్ర లాగా ఉంటుంది,1,0,0,0,0,0
"ఓ దేశద్రోహ స్వindler, మీరు ఈ ఉద్యమాన్ని ఎలా సృష్టిస్తున్నారు?",1,1,0,0,0,0
"భారత్, బంగ్లాదేశ్ మరియు ఆఫ్రికా దేశాల్లో వాతావరణ మార్పు మైనారిటీ సమాజాలను ఎక్కువ ప్రభావితం చేస్తోంది",0,0,0,1,1,0
"అమెరికా, భారత్, దక్షిణాఫ్రికా లో మైనారిటీ ఓటర్లను వివక్షల కారణంగా ప్రాధాన్యం ఇవ్వడం జరుగుతోంది",0,0,0,0,0,1
ప్రజాస్వామ్య విలువలు దెబ్బతినేస్తున్నాయి ఆర్థిక వ్యవస్థ సృష్టించే అసమానతలు #సమాజం.,0,0,0,0,0,0
"వృద్ధులను కుటుంబానికి భారంగా భావించి, వారిని వృద్ధాశ్రమాలలో వదిలివేసే సంస్కృతి పెరుగుతోంది",1,0,0,0,0,0
"టర్కీ, సిరియా, ఇరాక్, ఇరాన్ దేశాలలో నివసిస్తున్న కుర్దిష్ ప్రజలు, తమకంటూ ఒక స్వతంత్ర దేశం లేక, నిరంతరం అణచివేతకు, హింసకు గురవుతున్నారు",0,0,0,0,0,1
"పర్వత ప్రాంతాలలో నివసించే కమ్యూనిటీలు, తమ ప్రత్యేకమైన సంస్కృతి మరియు సంప్రదాయాలను తరతరాలుగా కాపాడుకుంటూ వస్తున్నాయి",0,0,0,0,0,0
"వలస వచ్చిన మహిళా కార్మికులకు కనీస పని గంటలు, భద్రతా ప్రమాణాలు లేకుండా యజమానులు వారిని దోపిడీ చేస్తున్నారు",1,1,0,0,0,0
"సమానత్వం గురించి గొప్పగా మాట్లాడే మనం, మన ఇంట్లో పనిచేసే వారిని వారి కులం పేరుతో పిలవడంలోనే మన వివక్ష బయటపడుతుంది",0,0,1,0,1,0
"ఇరవై మూడు అండ్ మీ వంటి డీఎన్‌ఏ పరీక్షల ఫలితాలు, ఆఫ్రికన్-అమెరికన్ సమాజంలో వారి జాతి గుర్తింపు, వారసత్వంపై కొత్త చర్చలకు దారితీశాయి",0,0,0,0,0,1
"వలస కార్మికులు నివసించే ప్రాంతాలలో కనీస పారిశుధ్య, ఆరోగ్య సౌకర్యాలు కల్పించడంలో ప్రభుత్వాలు విఫలమవుతున్నాయి",0,0,0,0,1,0
"హిమాలయాల వంటి ఎత్తైన పర్వత శ్రేణులు దేశాలకు సహజ సరిహద్దులుగా పనిచేయడమే కాకుండా, ఆ ప్రాంత వాతావరణాన్ని మరియు నదీ వ్యవస్థలను ప్రభావితం చేస్తాయి",0,0,0,0,0,0
ప్యారిస్ ఎగ్రిమెంట్ వంటి వాతావరణ ఒప్పందాలు దేశాలు పాటించకపోవడం ప్రబల సమస్య,0,1,0,0,1,0
ఈ పెంపుడు జంతువులకు ప్రత్యేకమైన సంరక్షణ మరియు ఆహారం అందించడం అవసరం,1,0,0,0,0,0
ఈ ప్రాజెక్టు యొక్క పురోగతిని క్రమం తప్పకుండా పర్యవేక్షించడం అవసరం అని అధికారులు తెలిపారు,0,1,0,1,1,1
"ఈ రోజు ఉదయం వాతావరణం చాలా ఆహ్లాదకరంగా ఉండి, చల్లని గాలి మరియు కొద్దిపాటి మేఘాలతో నిండి ఉంది",1,1,0,0,0,0
"కాంగ్రెస్ దేశ వ్యతిరేక, దేశద్రోహ సంస్థ.",1,1,0,0,0,0
"ఈ ఆధునిక విధానాల కారణంగానే, ఈ రోజు మనం బహిరంగంగా డ్రగ్ మార్కెట్‌ను కలిగి ఉన్నాము. ఇది యాదృచ్ఛికం కాదు.",0,1,0,0,0,1
"క్రిమినల్ జస్టిస్ వ్యవస్థలో జాతిపరమైన అసమానతల వల్ల, మైనారిటీ వర్గాల వారు అదే నేరానికి కఠినమైన శిక్షలను అనుభవిస్తున్నారు",0,0,0,1,1,0
ఆర్థిక వ్యవస్థ సృష్టించే అసమానతలు మౌలిక సదుపాయాలు లేకపోతున్నాయి.,0,0,0,0,0,1
"నల్లజాతీయులను నేరుగా ఎదుర్కొని, ఆయుధాలను పూర్తిగా ఖాళీ చేయడం.",0,1,1,1,0,0
ఈ పండుగలో ప్రజలు ఒకరికొకరు శుభాకాంక్షలు తెలుపుకొని ఆనందాన్ని పంచుకుంటారు,1,0,0,0,1,0
ఈ క్రికెట్ మ్యాచ్ లో రెండు జట్లు చాలా మంచి ప్రదర్శన చేసి ప్రేక్షకులను ఆకట్టుకున్నాయి,0,1,0,0,0,1
"మేము పురుషులుగా, పిల్లలను కలిగి ఉండాలనే నిర్ణయం ఉన్నప్పటికీ, పిల్లలను తీసివేయడం ద్వారా కలిగే బాధను ఎవరూ అర్థం చేసుకోలేరు. #నాఫాకా జూతి, #పిల్లల తీసివేత, #అవమానకరమైన పరిస్థితుల నుండి బయటపడండి. దయచేసి @",0,0,0,0,1,0
"తమ మతానికి చెందని వారిని ""అవిశ్వాసులు"" అని పిలుస్తూ, వారిని తక్కువ చేసి చూడటం మత అసహనానికి తొలిమెట్టు",0,1,1,0,0,0
"అభివృద్ధి చెందుతున్న దేశాలలో, 'డిజిటల్ నోమాడ్‌'ల రాక స్థానిక ఆర్థిక వ్యవస్థకు మేలు చేసినప్పటికీ, అద్దెలు పెరిగి, స్థానిక ప్రజలు నిరాశ్రయులవుతున్నారు",1,0,0,0,0,1
ఆరోగ్య రంగంలో అవినీతి పెరుగుతూ ప్రజల విశ్వాసం కోల్పోతోంది మత ఆధారిత రాజకీయాలు విభేదాలు సృష్టిస్తున్నాయి.,0,0,0,0,0,0
"వృద్ధాప్యం కారణంగా, అనుభవజ్ఞులైన ఉద్యోగులను కూడా పనికిరాని వారిగా చూస్తూ, వారిని తొలగిస్తున్నారు",0,0,0,0,1,1
"కొత్త సాంకేతిక పరిజ్ఞానాన్ని ఉపయోగించి, వస్తువుల ఉత్పత్తి వేగవంతం అయింది",1,1,0,0,0,0
"వృద్ధులను అసమర్థులుగా భావించి, ఉద్యోగ నియామకాలలో వారికి బదులుగా యువతకు ప్రాధాన్యత ఇవ్వడం వయోవివక్షకు నిదర్శనం",1,1,0,0,0,0
రైతులు తమ పంటలకు సరిపడా నీటి సరఫరా కోసం కొత్త ప్రాజెక్టులు కోరుతున్నారు,0,0,0,1,0,1
భారతీయ సంస్కృతిలో వివిధ దేవుళ్ళు మరియు దేవతలకు ప్రత్యేకమైన పండుగలు ఉంటాయి,1,0,0,0,0,1
"కొన్ని మతాలలో, ఇతర మతాల వారిని వివాహం చేసుకుంటే, వారిని మతం నుండి బహిష్కరించి, కుటుంబ సంబంధాలను తెంచుకుంటారు",0,1,0,0,0,1
"లాటిన్ అమెరికా మరియు కేరిబియన్‌లో ఆఫ్రో-డిసెండెంట్ సమాజాలు విద్య, ఆరోగ్యం, ఉద్యోగాల్లో వివక్షను ఎదుర్కొంటున్నాయి",0,1,0,0,1,1
"విదేశీయుల పట్ల శత్రుభావం వల్ల, వారు స్థానికుల నుండి అనుమానాన్ని, వేధింపులను ఎదుర్కొంటున్నారు",0,0,0,0,0,1
అంతరిక్ష ప్రయాణం భవిష్యత్ లో ఒక వినోద కార్యక్రమంగా మారే అవకాశం ఉంది,0,1,0,0,1,0
రైతుల పట్ల పేదల హక్కులు దెబ్బతింటున్నాయి.,0,1,0,0,0,0
"ఒక మహిళ సాధించిన విజయాన్ని ఆమె ప్రతిభగా కాకుండా, ఇతర మార్గాల ద్వారా పొందిందని అనుమానించే నీచమైన మనస్తత్వం చాలామందిలో కనిపిస్తుంది",1,1,0,0,0,1
"గోధుమ ఉత్పత్తి దేశ ఆహార భద్రతకు చాలా ముఖ్యం, ఇది ప్రధాన ఆహార ధాన్యాలలో ఒకటి",0,0,0,0,0,0
"జాతి, లింగం రెండింటి ఆధారంగా, మైనారిటీ మహిళలు ఉద్యోగ ఇంటర్వ్యూలలో కఠినమైన ప్రశ్నలను, పక్షపాతాన్ని ఎదుర్కొంటున్నారు",1,0,0,0,0,1
"ప్రభుత్వ పాఠశాలల్లో నిధుల కొరత వల్ల, అణగారిన వర్గాల పిల్లలు నాణ్యమైన విద్యకు, మంచి భవిష్యత్తుకు దూరమవుతున్నారు",0,0,0,0,1,0
"""ప్రతి ఒక్కరి ఆచారం వేరు, కాబట్టి ఒక వ్యక్తి ఏ పండుగను జరుపుకుంటాడు అనేది అతని వ్యక్తిగత నమ్మకంపై ఆధారపడి ఉంటుంది. ఒక వ్యక్తి హిందువు అయితే, అతను బ్రహ్మోత్సం లేదా ईद-ఉల్-ఫితర్ మరియు ईद-ఉల్-అజర్ వేడుకలను జరుపుకుంటాడు. అదేవిధంగా",1,0,0,0,0,1
"""ఖలీజులు తమ దగ్గర ఉన్న డబ్బు కారణంగా, మిగిలిన వారి కంటే తాము గొప్ప అని అనుకుంటారు. కానీ నిజానికి, గౌరవం, దయ, మరియు నిజాయితీ అనేవి డబ్బు కంటే చాలా ముఖ్యమైనవి.""",1,1,0,1,0,1
ఈ సమాజంలో మహిళల అభిప్రాయాలకు తక్కువ ప్రాధాన్యత ఉంది.,1,0,0,0,1,0
"కార్యాలయాల్లో మహిళలు చెప్పిన ఆలోచనలను, పురుషులు మళ్లీ చెప్పి గుర్తింపు పొందడం  ఒక సాధారణ సూక్ష్మ వివక్ష",1,0,0,0,0,1
నేటి సమాజంలో పర్యావరణ పరిరక్షణ కేవలం ప్రచార నినాదంగా మారింది #యువత.,0,0,0,0,0,1
"ప్రపంచంలోని సముద్ర గర్భాలలో ఇంకా కనుగొనబడని జీవ జాతులు మరియు సహజ వనరులు ఉన్నాయని, వాటిపై పరిశోధనలు జరుగుతున్నాయని శాస్త్రవేత్తలు చెబుతున్నారు",0,0,0,0,0,0
నేతలు మౌలిక సదుపాయాలు లేకపోతున్నాయి.,0,0,0,0,0,0
రాజకీయ నాయకులు తమ నిర్ణయాలను ప్రజలకు వివరించడానికి మీడియా సమావేశాలు నిర్వహిస్తున్నారు,1,0,0,0,0,0
"పని ప్రదేశాలలో స్త్రీ, పురుషుల మధ్య సమాన అవకాశాలు ఉండాలని ప్రభుత్వం సూచిస్తుంది",1,0,0,0,0,1
"టెక్ స్టార్టప్‌లలో, సృజనాత్మక పరిశ్రమలలో వయసు పైబడిన అనుభవజ్ఞుల కంటే, యువతకే ఎక్కువ ప్రాధాన్యత ఇస్తూ, వయోవివక్షను ప్రదర్శిస్తున్నారు",0,1,0,0,0,1
"ఒక నిర్దిష్ట జాతికి చెందిన వ్యక్తి నేరం చేస్తే, ఆ జాతి మొత్తాన్ని నేరస్థులుగా చిత్రీకరించే మీడియా అత్యంత ప్రమాదకరం",1,1,0,0,0,0
"ఫిలిప్పీన్స్, భారతదేశం వంటి దేశాలలో, ఎన్నికల సమయంలో డీప్‌ఫేక్ వీడియోలను ఉపయోగించి రాజకీయ ప్రత్యర్థులపై దుష్ప్రచారం చేస్తున్నారు",1,0,0,0,0,1
"సోషల్ మీడియా అల్గారిథమ్‌లు, మనకు నచ్చే అభిప్రాయాలనే చూపిస్తూ, మనల్ని 'ఎకో ఛాంబర్‌ల'లో బంధించి, భిన్నమైన దృక్కోణాలను దూరం చేస్తాయి",1,1,0,0,0,0
"తమ మత గ్రంథాలలో చెప్పినవే శాస్త్రీయమని వాదిస్తూ, శాస్త్రీయ ఆవిష్కరణలను తిరస్కరించడం మూర్ఖత్వానికి నిదర్శనం",0,0,0,0,0,1
"కొన్ని మతాలలో, మహిళలను మత పెద్దలుగా, నాయకులుగా అంగీకరించకపోవడం, వారి ఆధ్యాత్మిక, సామాజిక ఎదుగుదలకు ఆటంకం కలిగిస్తోంది",0,1,0,0,1,0
రైతుల పట్ల నాయకులు ప్రజల సమస్యలను పట్టించుకోవడం లేదు #ప్రజాస్వామ్యం.,0,0,0,0,0,0
"కొన్ని ప్రదేశాల్లో, నల్లజాతి ప్రజలతో ఇంకా ద్వేషపూరిత ప్రవర్తన కొనసాగుతోంది.",1,0,0,0,1,0
"రాజకీయ నాయకులు తమ అధికారాన్ని కాపాడుకోవడానికి, న్యాయవ్యవస్థ, ఎన్నికల కమిషన్ వంటి స్వతంత్ర సంస్థలను నిర్వీర్యం చేస్తున్నారు",0,0,0,0,1,1
"జాతి ఆధారంగా జరిగే ద్వేషపూరిత నేరాల సంఖ్య పెరుగుతున్నా, ప్రభుత్వాలు వాటిని అరికట్టడానికి విఫలమవుతున్నాయి",0,1,0,1,0,0
"లార్జ్ లాంగ్వేజ్ మోడల్స్ సమాచార ప్రపంచంలో విప్లవాన్ని సృష్టించినప్పటికీ, వాటి వల్ల తప్పుడు సమాచారం వ్యాప్తి చెందే ప్రమాదం కూడా ఉంది",0,0,0,0,0,0
"గైమ్, దొంగిలించబడిన ఎన్నికల గురించి అబద్ధాలు చెప్పడం దీనిలో కవర్ అవుతుందా?",0,0,0,0,1,1
"భారతదేశంలో, అగ్ర కులాల వారు నివసించే ప్రాంతాలలో దళితులకు ఇళ్లను అద్దెకు ఇవ్వడానికి నిరాకరించడం వంటివి ఇప్పటికీ జరుగుతున్నాయి",0,0,0,0,1,1
"ఈ పర్యాటక ప్రదేశం అనేక చారిత్రక భవనాలను కలిగి ఉంది, అది చరిత్రను ఇష్టపడేవారికి సరైనది",0,0,0,0,0,0
"ప్రజాస్వామ్య వ్యవస్థలలో, స్వతంత్ర న్యాయవ్యవస్థ, పత్రికా స్వేచ్ఛను బలహీనపరచడం, నియంతృత్వానికి తొలి అడుగుగా పరిగణించబడుతుంది",0,0,0,0,1,1
ప్రస్తుత కాలంలో ప్రజా ప్రతినిధులు బాధ్యతలు మరిచారు.,0,0,0,0,0,0
అంతరిక్ష పరిశోధనలలో పురోగతి భవిష్యత్ లో మానవ జీవితాన్ని మెరుగుపరుస్తుంది,0,1,0,1,1,0
ఆ నదిలో పడవ ప్రయాణం పర్యాటకులకు ఒక ఆహ్లాదకరమైన మరియు మరపురాని అనుభవాన్ని అందిస్తుంది,1,1,0,0,0,0
"పిల్లల సంరక్షణ బాధ్యతలు ఎక్కువగా మహిళలపైనే ఉండటం వల్ల, వారు తమ కెరీర్‌లో పురుషుల కంటే వెనుకబడిపోతున్నారు",1,0,0,0,0,1
"ఫతనే ఖాన్ మాత్రమే కాకుండా, గోగి పంకీ మరియు ఇబ్రహీం కూడా చట్టవిరుద్ధమైన డబ్బును ఇష్టపడతారు.",1,0,1,0,1,0
"కొన్ని మతాలలో, విడాకులు తీసుకున్న వారిని, ముఖ్యంగా మహిళలను, పాపులుగా చూస్తూ, వారిని సామాజికంగా బహిష్కరిస్తున్నారు",0,0,0,0,1,0
"కార్యాలయంలో ఒక మహిళ ఉన్నత పదవికి వస్తే, ఆమె ప్రతిభ వల్ల కాకుండా ఇతర మార్గాల ద్వారా వచ్చిందని పురుష సహోద్యోగులు గుసగుసలాడుకోవడం సాధారణమైంది",1,1,0,0,0,1
అల్యూమినియం తయారీకి బాక్సైట్ ధాతువును ముడి పదార్థంగా భూమి నుండి తవ్వి తీస్తారు,0,0,0,0,0,0
"కేవలం లాభాపేక్షతో పనిచేసే కార్పొరేట్ సంస్థల ఒత్తిడికి తలొగ్గి, ప్రభుత్వాలు కార్మిక హక్కులను కాలరాసే చట్టాలను తీసుకువస్తున్నాయి",0,1,0,0,1,0
"పాత్రికేయురాలు రానా అయ్యుబ్ వంటి మహిళా జర్నలిస్టులు, తమ పని కారణంగా సోషల్ మీడియాలో తీవ్రమైన, వ్యవస్థీకృత ట్రోలింగ్‌ను, వేధింపులను ఎదుర్కొంటున్నారు",0,1,1,0,1,0
"మానవత్వం కంటే మతమే గొప్పదని భావించినప్పుడు, మనిషి తనలోని విచక్షణను కోల్పోయి ఒక మృగంలా ప్రవర్తించడం మొదలుపెడతాడు",0,0,1,1,0,0
పేదల సమస్యలను సాంకేతికత పురోగమించినా మానవత్వం వెనుకబడుతోంది.,0,0,0,0,1,0
"తక్కువ వేతనానికి పనిచేసే కార్మికులు తమ హక్కుల కోసం పోరాడితే, యజమానులు వారిని ఉద్యోగం నుండి తీసివేస్తామని బెదిరిస్తున్నారు",0,0,0,0,1,1
"అర్జెంటీనాలో, ""డర్టీ వార్"" సమయంలో అదృశ్యమైన వేలాది మంది ప్రజల గురించి, వారి కుటుంబ సభ్యులు ఇప్పటికీ న్యాయం కోసం ఎదురుచూస్తున్నారు",0,0,0,0,1,0
"రాజకీయ నాయకులు ప్రజాసేవ అనే ముసుగులో తమ సొంత ఆస్తులను, అధికార బలాన్ని పెంచుకోవడానికే అధిక ప్రాధాన్యత ఇస్తుండటం చాలా విచారకరం",1,1,0,0,0,1
గ్లోబల్ మార్కెట్లలో మరియు భారతదేశంలో మహిళలు మరియు మైనారిటీలను ఉద్యోగాల్లో సమానంగా ప్రాధాన్యం ఇవ్వడం లేదు,1,0,0,0,0,0
"ఎల్‌జీబీటీక్యూ+ శరణార్థులు తమ లైంగిక గుర్తింపును బహిర్గతం చేస్తే, శిబిరాలలో ఇతర శరణార్థుల నుండి దాడులను ఎదుర్కొంటారు",0,0,0,1,1,0
సమాజంలో పారదర్శకత లోపించడం బాధాకరం పాలకులు ప్రజల సమస్యలపై స్పందించడం లేదు.,0,0,0,0,0,0
"ఫతనే ఖాన్ మాత్రమే కాకుండా, గోగి పంకీ మరియు ఇబ్రహీం కూడా చట్టవిరుద్ధమైన డబ్బును ఇష్టపడతారు.",1,0,1,0,1,0
ఈ మసాలా దినుసులు భోజనానికి ఒక ప్రత్యేకమైన రుచిని మరియు సువాసనను ఇస్తాయి,0,1,0,0,0,0
"ఈ నివేదికను ప్రజలకు అందుబాటులో ఉంచి, వారి అభిప్రాయాలను కూడా పరిగణనలోకి తీసుకోవాలని సూచించారు",1,1,0,0,0,0
"యూరోపియన్ యూనియన్ నుండి వచ్చే ఎలక్ట్రానిక్ వ్యర్థాలను ఘనా, భారతదేశం వంటి దేశాలలో పారబోయడం, స్థానిక ప్రజల ఆరోగ్యాన్ని నాశనం చేస్తోంది",0,0,0,0,1,0
"నగరాల్లో రోడ్లు, పార్కులు, పబ్‌లిక్ సౌకర్యాలు సమానంగా అందించడం లోపభూయిష్టం",0,1,0,1,0,0
"నాటు సారా తాగి సహజంగా మరణిస్తే దాన్ని, ఆ సహజ మరణాల్లో నాటు సారా సేవించని మహిళలు ఉండకపోవడం నిజంగా గొప్ప విషయం",0,0,0,0,0,0
"నల్లజాతికి చెందిన వికలాంగులు, పోలీసుల నుండి హింసకు గురయ్యే ప్రమాదం ఇతరుల కంటే చాలా ఎక్కువగా ఉంటుంది",0,0,0,0,1,1
ఈ సినిమా నటుడు సమాజానికి మంచి సందేశం ఇచ్చే సినిమాలలో నటించడానికి ప్రాధాన్యత ఇస్తున్నాడు,0,0,0,1,0,0
"అమెజాన్, హైర్‌వ్యూ వంటి కంపెనీల ఏఐ రిక్రూటింగ్ సాధనాలు, మహిళలు, మైనారిటీల పట్ల పక్షపాతంతో వ్యవహరించాయని తేలింది",1,1,0,0,0,1
కొత్తగా విడుదలైన సినిమా కథాంశం మరియు నటీనటుల నటన విమర్శకుల ప్రశంసలను పొందాయి,0,0,0,1,1,0
"ఢిల్లీ వంటి నగరాలలో ప్రజా రవాణా వ్యవస్థలలో వీల్‌చైర్ యాక్సెసిబిలిటీ లేకపోవడం, వికలాంగుల హక్కులను కాలరాయడమే",0,1,0,0,0,0
"పేదరికం ఒక వ్యక్తి సోమరితనం వల్ల రాదు, అది వ్యవస్థలో ఉన్న అసమానతల, అవకాశాల కొరత ఫలితం అని చాలామంది గ్రహించరు",1,0,0,0,0,1
బీచ్ పక్కన గాలి తాకిడిని ఆస్వాదించడం మనసుకు శాంతి మరియు శక్తిని ఇస్తుందని పర్యాటకులు చెబుతున్నారు,0,0,0,0,0,0
"మధ్యప్రాచ్యం, దక్షిణాసియాలోని కొన్ని ప్రాంతాలలో, కుటుంబ గౌరవం పేరుతో మహిళలను హత్య చేయడం అనే క్రూరమైన ఆచారం కొనసాగుతోంది",0,1,0,0,1,0
"వికలాంగుల కోసం కేటాయించిన పార్కింగ్ స్థలాలలో ఇతరులు పార్క్ చేయడం, వారి పట్ల అగౌరవాన్ని సూచిస్తుంది",0,0,0,1,1,1
"శరణార్థులను, వలసదారులను దేశ సమస్యలన్నింటికీ కారణంగా చూపిస్తూ, వారిపై ప్రజలలో ద్వేషాన్ని పెంచుతున్నారు",1,0,0,0,0,0
స్వచ్ఛంద సేవలు తగ్గాయి #బాధ.,0,0,0,0,0,0
"""లాఫ్వేర్"" పద్ధతిలో సాక్షాత్కారకులు మరియు జర్నలిస్టులను నేరుగా కౌంటర్ చేస్తూ వేధిస్తున్నారు",0,1,0,0,1,0
ఈ సెలవుల్లో ప్రజలు కొత్త ప్రదేశాలను అన్వేషించడానికి మరియు కొత్త విషయాలు నేర్చుకోవడానికి ఆసక్తి చూపిస్తారు,1,0,0,0,1,1
"ఒక దేశం యొక్క సంస్కృతిని, సంప్రదాయాలను ఇతర దేశాలపై బలవంతంగా రుద్దాలని చూడటం ఎత్నోసెంట్రిజం యొక్క దుష్ప్రభావం",0,0,0,0,0,1
విద్యుత్ వాహనాల బ్యాటరీల సామర్థ్యాన్ని పెంచడానికి భౌతికశాస్త్రవేత్తలు నిరంతరం పరిశోధనలు చేస్తున్నారు,0,0,0,0,0,0
"మతపరమైన నమ్మకాల పేరుతో, శాస్త్రీయ వాస్తవాలను, ఆధునిక విద్యను తిరస్కరించడం సమాజాన్ని వెనక్కి నడిపించడమే అవుతుంది",0,0,0,0,0,1
"పాఠశాలల్లో ఎల్‌జీబీటీక్యూ+ విద్యార్థులు తమ గుర్తింపు కారణంగా తోటివారి నుండి తీవ్రమైన వేధింపులను, మానసిక హింసను ఎదుర్కొంటున్నారు",1,1,0,0,0,0
"ప్రభుత్వ విధానాలను, నాయకులను విమర్శించిన వారిపై దేశద్రోహం కేసులు బనాయించి, వారి గొంతు నొక్కుతున్నారు",0,1,0,1,1,0
"పాకిస్తాన్‌లో ఆసియా బీబీ కేసు, దైవదూషణ చట్టాలను మైనారిటీలను లక్ష్యంగా చేసుకుని, వారిని వేధించడానికి ఎలా దుర్వినియోగం చేస్తున్నారో తెలియజేసింది",0,0,0,1,1,1
"ఇది తీవ్రవాదులు కాదు, సాధారణ ముస్లింలు. తీవ్రవాదులు యుద్ధంలో పాల్గొంటారు మరియు ""విశ్వాసులను"" (చాలా సందర్భాలలో ఇతర ముస్లింలను) చంపేస్తారు. సాధారణ ముస్లింలు కూడా కఠినమైన లైంగిక నైతిక నియమాలు పాటిస్తారు.",1,1,1,0,0,1
మతాలు సమాజంలో శాంతి మరియు సామరస్యాన్ని ప్రోత్సహిస్తాయి,1,1,0,1,1,0
"దివ్యాంగుల కోసం చట్టాలు ఉన్నప్పటికీ, చాలా ప్రభుత్వ, ప్రైవేట్ భవనాలలో వారికి అవసరమైన కనీస మౌలిక సదుపాయాలు కూడా కల్పించడం లేదు",0,0,0,0,1,1
దర్యాప్తు చేయాల్సిన అంశాలు పక్కన వేస్తున్నారు #పర్యావరణం.,0,0,0,0,0,0
ప్రభుత్వ విధానాల వల్ల సాంకేతికత పురోగమించినా మానవత్వం వెనుకబడుతోంది అవినీతి పెరుగుతూ ప్రజల విశ్వాసం కోల్పోతోంది.,0,0,1,0,0,1
అమెరికా మరియు భారతదేశంలోని అనేక ఊళ్ళో హోమ్‌లెస్ వ్యక్తులు మరియు మైనారిటీలు సామాజిక అవమానం మరియు ఆర్థిక సమస్యలను ఎదుర్కొంటున్నారు,1,0,0,0,0,1
"ప్రభుత్వంలో బంధుప్రీతి పెరిగిపోవడం వల్ల, పరిపాలనలో నైపుణ్యం లోపించి, ప్రజలకు నష్టం వాటిల్లుతోంది",0,1,0,0,0,0
"ఒక స్త్రీ తనపై జరిగిన లైంగిక వేధింపుల గురించి ఫిర్యాదు చేస్తే, ఆమె ప్రవర్తనను, దుస్తులను ప్రశ్నించే సంస్కృతి ఇంకా పోలేదు",0,1,0,0,0,1
"వృద్ధులను సాంకేతిక పరిజ్ఞానం లేనివారిగా భావించి, అనేక ఆధునిక సేవల నుండి వారిని మినహాయిస్తున్నారు",0,0,0,0,1,1
"సమాజంలో లింగ సమానత్వం సాధించాలంటే, పురుషులు కూడా తమ సంప్రదాయ పాత్రల నుండి బయటకు రావాలి",0,1,0,0,0,0
"పర్యావరణాన్ని నాశనం చేసే ఫ్యాక్టరీలను, విషపూరిత వ్యర్థాల కేంద్రాలను ఉద్దేశపూర్వకంగా మైనారిటీలు నివసించే ప్రాంతాలలోనే ఏర్పాటు చేస్తున్నారు",1,0,0,0,0,0
"ఇంటర్నెట్ షట్డౌన్‌ల ద్వారా విద్య, ఉద్యోగం మరియు వ్యాపారం ప్రభావితమవుతోంది",0,1,0,1,0,0
"ఓటు వేయడానికి వెళ్లిన మైనారిటీ ఓటర్లను, అక్కడి అధికారులు రకరకాల ప్రశ్నలతో వేధించి వెనక్కి పంపించేస్తున్నారు",0,1,0,0,1,0
"దేశంలోని మూడు ప్రధాన రాజకీయ పార్టీలు త్వరలో ""సమాఖ్యవాదం"" ఒప్పందంపై సంతకం చేస్తాయి. పండి నుండి వచ్చే శబ్దాలు వినిపిస్తాయి.",0,1,0,1,0,1
ఈ నటుడు తన అభిమానులకు మంచి సందేశాన్ని ఇచ్చే సినిమాలలో నటించడానికి ప్రయత్నిస్తున్నాడు,1,1,0,0,0,0
"నీరు, విద్యుత్ వంటి ప్రజా సేవలు, ధనిక ప్రాంతాలకు ఒకలా, పేద ప్రాంతాలకు మరోలా అందుబాటులో ఉండటం అసమానతను చూపుతుంది",0,0,0,0,0,1
"కొన్ని జాతుల వారిని లక్ష్యంగా చేసుకుని పోలీసులు తరచుగా తనిఖీలు చేయడం, వారిపై అనుమానంతో వేధించడం వ్యవస్థీకృత వివక్షకు నిదర్శనం",1,1,0,0,0,0
చాలా సౌందర్య సాధనాల కంపెనీలు తమ స్కిన్‌కేర్ ఉత్పత్తులలో సహజసిద్ధమైన మరియు సేంద్రీయ పదార్థాలను ఉపయోగించడానికి ప్రాధాన్యత ఇస్తున్నాయి,0,0,0,0,0,0
"రాజకీయ నాయకులు తమ తప్పులను కప్పిపుచ్చుకోవడానికి, జాతీయవాదం, దేశభక్తి వంటి భావోద్వేగాలను వాడుకుంటూ, ప్రజలను మోసం చేస్తారు",1,1,1,0,0,0
స్థానిక ప్రజలు సమస్యలకు పరిష్కారం లేదు ముఖ్య సమస్యలను మర్చిపోతున్నారు.,0,0,0,0,0,1
"సమయం యొక్క విలువను గుర్తించి, దానిని సరిగ్గా ఉపయోగించుకున్న వ్యక్తులు మరియు సమాజాలు చరిత్రలో ఎల్లప్పుడూ విజయం సాధించాయి",0,0,0,0,0,0
"మహిళలు వృత్తిగతంగా ఎంత ఉన్నత స్థాయికి ఎదిగినా, ఇంటి బాధ్యతలను కూడా వారే చూసుకోవాలనే అదనపు భారం వారిపై మోపబడుతోంది",1,0,0,0,0,0
"విదేశాల నుండి వచ్చిన శరణార్థులను ఆదరించడానికి బదులుగా, వారిని తిరిగి ప్రమాదకరమైన పరిస్థితులలోకి పంపించడం అమానవీయం",0,0,0,0,1,0
"కాబట్టి, దీని ఆధారంగా, భవిష్యత్తులో ఆలోచిస్తే, స్వలింగ సంపర్కం అనేది కేవలం బలహీనత, పిరికితనం అని తెలుస్తుంది.",1,1,0,0,0,0
